Nazwa,Kcal,Bialko,Weglowodany,Tluszcz
"Tuńczyk w oliwie z oliwek",245,21,0.9,18
Twaróg,90,19,3.5,0
"Parówki Berlinki Classic - Morliny",251,12.9,2.7,21
"Jogurt naturalny grecki",60,3.6,5.2,2.8
"Jogurt naturalny typu greckiego o obniżonej zawartości tłuszczu - Tolonis",74,4.4,5.2,4
"Bulion z kostki rosołowej",8,0.6,0.5,1
"Jogurt naturalny typu greckiego 0% - Piątnica",57,8.7,4.1,0
"Kakao (proszek) - Decomorreno",303,23.5,13,10.5
"Kluski śląskie",155,2,36.6,0.1
"Tost pszenny",293,9,54.4,4
"Ketchup łagodny - Pudliszki",148,1,35,0
"Chleb Kołodziej - Polish Village Bread",252,9.8,37.3,7.1
"Szynka Klasyczna Sokołowska",93,17,1.5,2
"Wołowina (udziec)",160,21,0,7.9
"Karkówka wieprzowa z grilla",389,23,0,33
"Chleb chrupki żytni - Wasa",357,10.8,67.2,2
"Masło Polskie - Mlekovita",746,1,1,82
"Twaróg wiejski chudy - Mlekovita",96,20,3.5,0.2
Morele ,48,1.4,11.1,0.4
Herbatniki,439,8.2,76.8,11
"Cukinia gotowana",15,1.1,2.7,0.4
"Mięso mielone wołowe - Sokołów",254,17,0,20
"Chleb pszenny",262,8.5,54.3,1.4
"Rodzynki sułtańskie Bakallino - Biedronka",292,2.3,64,1.5
"Frytki z frytownicy",314,3.8,38,16
"Powidła śliwkowe",218,1,53,0.2
"Warzywa na patelnię",63,2.5,9.1,1.3
"Rosół domowy",49,5.6,1.2,2.7
"Miód wielokwiatowy",319,0.3,79.5,0
"Pasztet z drobiu",149,21.9,1.4,5.7
"Soczewica (ugotowana bez soli)",200,10,31.7,0.6
"Bułka orkiszowa",250,8,50,2
"Figi suszone",249,3.3,63.9,0.9
"Melon żółty",36,0.5,9,0.1
"Chleb żytni ze słonecznikiem na naturalnym zakwasie - Biedronka",257,6.4,43.4,5.6
"Szynka wieprzowa wędzona",212,19,1.2,14.5
"Przyprawa wanilia laska",288,0.1,12.7,0.1
"Polędwica z indyka w plastrach - Morliny",89,16,0.8,1.9
"Maggi (przyprawa do zup)",17,2.7,1.5,0
"Fasola biała gotowana (bez soli)",139,9.7,25.1,0.4
"Grzyb Podgrzybek",49,3.6,4,0.5
"Udo z kurczaka bez skóry (pieczone)",130,17.3,0.8,6.4
"Wołowina (polędwica) surowa",127,22.3,0,3.5
"Groszek mrożony (ugotowany bez soli)",78,5.2,14.3,0.3
"Olej z pestek winogron",884,0,0,100
"Chleb pszenno żytni wiejski",227,6.8,47,1.2
"Zupa krupnik",92,6.8,7.8,4.3
"Ptasie mleczko",438,2.6,56.2,21.8
"Jogurt naturalny łagodny 1,5% - Bakoma",63,5,7.3,1.5
"Polędwica sopocka",111,19,1.3,3.3
"Kawa Błonnik - Inka",294,2.6,49,0.1
"Mąka pszenna",332,11,63,2.3
"Grahamka Lidl",265,9.5,48.8,2.1
"Chleb pszenno żytni",203,5,44,1
"Zupa pieczarkowa",65,1.6,8.1,2.8
"Sos winegret (ocet i olej)",449,0,2.5,50.1
"Ser Salami",355,25.2,0.1,28.1
"Tuńczyk w sosie własnym (konserwa)",103,24,0,0.8
"Pepsi Cola",37,0.1,9.6,0
Musli,382,9.2,66.5,7.1
"Ser żółty wędzony Królewski - Sierpc",359,27,2,27
Kopytka,147,4,32.3,0.7
"Ryż Basmati (nieugotowany)",351,9,76,1.1
"Bajgiel pełnoziarnisty",250,10.2,48.9,1.5
"Naleśniki z serem",175,9.5,24.1,4.7
"Kasza jęczmienna - Melvit",334,8.4,74.9,2.2
"Kefir naturalny 0% - Pilos",34,3.6,5,0
"Bułka razowa z ziarnami słonecznika",222,7,41,4
"Groszek zielony (konserwa)",68,4.5,11.4,0.8
Czekolada,535,7.7,59.4,29.7
"Pierogi z mięsem",205,11.9,17.1,10.1
"Jogurt naturalny - Tola",61,4.3,5.2,2.5
"Jabłko gotowane (bez skórki)",53,0.3,13.6,0.4
"Szynka babci wędzona Biedronka",93,17,2,2
"Ziemniaki pieczone",93,2.5,21,0.1
"Śliwki węgierki",46,0.7,11.4,0.2
"Cukierek Michałek",518,10.8,48.6,30.7
"Chipsy kukurydziane",488,6.2,63.8,22.8
"Spaghetti z mięsem i sosem pomidorowym",105,4,11,5
"Schab (wędzony)",136,25,0.6,4
"Kiełbasa śląska",214,17.9,0,16.1
"Grapefruit czerwony (owoc)",47,0.8,10.7,0.1
"Ser Feta Favita półtłusty - Mlekovita",189,13,7.5,12
"Tuńczyk w sosie własnym - Amerigo",80,20,0,0.5
"Kiełbasa szynkowa",162,18,0,10
"Kiełbasa myśliwska",300,27.8,0,20
"Chleb wiejski",243,5.3,52,1.1
"Bułka pszenno-żytnia",280,9.8,58.2,2.1
"grahamka biedronka",252,9,56.1,1.7
"Omlet dwujajeczny",154,10.6,0.6,11.7
"Płatki Bran Flakes z otrąb pszennych - Sante",359,13,79,2.8
"Cukierki Krówki",398,4.2,76,10.2
"Musztarda sarepska - Kamis",93,4.4,7.9,4
"Pierś z kurczaka bez skóry smażona bez oliwy",175,30.4,0,4.4
Rosół,49,5.6,1.2,2.7
"Kurczak (pieczony)",267,29.6,0,16.6
"Kurczak (pieczona pierś ze skórą)",197,30,0,8
"Szpinak ugotowany",23,3,3.8,0.3
"Ser Gouda - Serovit",344,26,1.4,26
"Papryczka chilli",40,1.9,8.8,0.4
Kaszanka,274,9,14.5,19.5
Kiełbasa,214,17.9,0,16.1
"Groszek zielony",81,5.4,14.5,0.4
"Mleko Łaciate 0,5% - Mlekpol",38,3.3,5,0.5
"Chleb pełnoziarnisty - Lidl",210,5.8,38,1.8
"Mleko wiejskie świeże 2% - Piątnica",50,3,5,2
"Ser królewski",347,26,1,27
"Musli śniadaniowe z rodzynkami i orzechami laskowymi - Vitanella",369,11.2,61.8,6.1
"Masło Osełka - Sobik",750,0.7,0.4,83
"Szynka wieprzowa pieczona",253,17.1,0.7,23
"Mleko 1,5 % - Tesco",46,3.3,4.8,1.5
"Płatki jaglane błyskawiczne",356,11,65,4
"Szynka wieprzowa konserwowa",96,14,2,3.5
"Bób gotowany",110,7.6,19.7,0.4
"Ryba smażona",232,15,17,12
"Chleb Dobry żytni pełnoziarnisty - Schulstad",239,6.1,41.6,5
"Warzywa na patelnię z ziemniakami - Mroźna Kraina",57,2.3,9.5,0.5
Maślanka,34,3.4,4.9,1.5
"Pierś z indyka bez skóry (pieczona)",135,30.1,0,0.7
"Szynka (wędlina)",253,17.1,0.9,23
"Płatki owsiane górskie ekstra",367,11.9,62.4,7.2
"Pączek z marmoladą",340,5.9,39,18.7
Sezam,572,18,23,50
"Twaróg półtłusty Mazurski Smak - Mlekpol",119,17,3.7,4
"Kakao 10% (proszek) - Wawel",302,23,14,10
Winogrona,69,0.7,18.1,0.2
"Chleb orkiszowy ze słonecznikiem",290,9.1,47.4,8
"Sok wyciskany z pomarańczy",45,0.7,10.4,0.2
"Surówka z marchwi - Vital Fresh",91,1.6,8.2,5.3
"Pasztet drobiowy Podlaski - Drosed",181,7,4,15
Brukselka,43,3.4,9,0.3
"Pierś z kurczaka (gotowana)",151,32.9,0,2
"Aromat spożywczy",376,50,45,0
"Kurczak gotowany - Tarczyński",90,18,2.5,0.8
"Przyprawa do kurczaka",210,12,25,4.5
"Kefir naturalny - Robico",43,3.1,4.2,1.5
"Odżywka Białkowa WPC80",391,78,14.3,1
"Kurczak (gotowany)",136,14.5,0,8.8
"Mleko migdałowe - Alpro",24,1,3,1
Pączek,418,5.9,45.6,23.6
"Serek śmietankowy - Almette",230,7,6,20
"Koktajl proteinowy -  Herbalife (proszek)",346,27.5,38.7,10.2
Żurawina,46,0.4,12.2,0.1
"Papryka konserwowa",18,0.8,3.9,0.3
"Majonez light - Hellmann's",280,0.6,9,27
"Barszcz czerwony (gotowa zupa)",18,0.1,4.1,0.1
"Mleko odtłuszczone w proszku",351,34,51,1.3
"Sernik wiedeński",262,11.4,23.4,12.2
"Fasolka po bretońsku",155,5.5,21.6,5.2
Beza,389,3.2,93,0.2
Szparagi,20,2.2,3.9,0.1
"Paluszki (z solą)",420,8.7,78.9,7.7
"Leczo z kiełbasą",73,5.9,6.6,4.1
"Ser pleśniowy Rokpol pełnotłusty",354,22.6,0,29.3
"Bułka żytnia",310,10,53,5.3
"Mięso mielone wieprzowe",264,21,0,20
"Twaróg chudy kostka - Biedronka",90,18,3.1,0.5
"Twaróg wiejski półtłusty - Piątnica",113,15.5,3.8,4
"Ziemniaki puree (z masłem)",132,5.1,11.3,7.6
"Margaryna Smakowita z masłem",360,0.5,0.5,40
"Chleb słonecznikowy - Lidl",260,7.9,39.2,6.6
"Owsianka na mleku pełnotłustym (ugotowana)",110,5,16,2.7
"Pierogi z kapustą i grzybami",209,5,34.5,3.7
Surówka,93,1.2,9.2,5.2
"Sos pesto zielony",411,4,3,42
"Chleb żytni ze słonecznikiem - Just Fit",236,7.3,29.1,7.9
"Chleb żytni pełnoziarnisty na zakwasie - Oskroba",219,5.3,42,2.1
"Serek homogenizowany waniliowy",100,5.2,13.3,2.8
"Jogurt Ale owoc! - Danone",94,3.9,15.3,1.8
"Masło orzechowe - EnerBIO",636,27.5,9.5,52
"Surówka z kiszonej kapusty",73,0.8,12,2.8
"Otręby owsiane - Sante",376,17.3,55.7,7
Pasztet,325,22.1,0.9,25.5
"Ryż brązowy (nieugotowany) - Kupiec",354,7,77,2
"Filet z kurczaka smażony w panierce",268,20,7.2,19.1
"Bulion z kury",87,6.8,1.5,9.3
"Majonez Kielecki",631,1.9,2.2,68
"Parówki z szynki - Krakus",295,16,1.5,25
"Kawa z mlekiem (4 łyżki mleka 0,5%)",36,3.2,4.7,0.5
"Polędwica sopocka Kraina Wędlin - Biedronka",97,18,1,2.6
"Boczek wędzony",478,12.6,0.7,47
"Sos pesto czerwony",302,4.6,8.8,26.7
"Parówka drobiowo - wieprzowa - Jedynka",221,13,0,19
"Kiełbasa z piersi kurczaka - Morliny",190,17.9,0.6,13
"Barszcz ukraiński",32,1.2,5.2,0.5
"Masło Extra - Mleczna Dolina",744,0.7,0.7,82
"Buraczki zasmażane",84,1.6,7,5.5
"Chleb żytni razowy na zakwasie",196,1.2,41.5,4.7
"Surówka z buraczków - Marwit",109,1.5,12,5.5
"Syrop klonowy",260,0,67,0.1
"Groszek i marchewka mrożone (gotowane bez soli)",48,3.1,10.1,0.4
"Ser Edam",357,25,1.4,27.8
"Chleb Drwalski",280,9,54,4
"Chleb pełnoziarnisty z siemieniem lnianym",191,5.3,29.2,3.4
"Twaróg Delikatny 0% naturalny - President",61,11,4.4,0
"Polędwica drobiowa",125,22,2,4
"Świeży sok marchwiowy - Marwit",38,0.4,8.7,0.1
"Komosa ryżowa - Quinoa (ugotowana)",120,4.4,21.3,1.9
"Wino czerwone półsłodkie",96,0,5.5,0
"Dżem 100% owoców truskawka",141,0.5,33.4,0.3
"Kiełbasa szynkowa z kurczaka",111,16.2,0,5
"Jogurt typu greckiego z brzoskwinią i marakują - Piątnica",78,7,14.4,0
"Mleko 1,5% bez laktozy - Pilos",47,3.4,4.9,1.5
"Przyprawa kolendra (ziarno)",0,0,0,0
"Dorsz smażony",134,20,0,5.6
"Fasola szparagowa (gotowana)",35,1.9,7.9,0.3
"Wafle kukurydziane ekstra cienkie (Good Food)",379,9.6,75.8,2.6
"Makaron pełnoziarnisty kokardki Farfalle (nieugotowany)",357,15.2,68,1.3
"Płatki orkiszowe błyskawiczne pełnoziarniste - Melvit Szczytno",320,11.6,62.4,2.7
"Gołąbki w sosie pomidorowym",116,7,11,5.4
"Żurek z białą kiełbasą i jajkiem",109,5.4,4.9,7.9
"Ser pleśniowy lekki",187,22,0.5,11
"Mleko ryżowe - Llidl",57,0.2,12,0.8
"Kabanos wieprzowy",328,28,0,24
Salami,459,22,0.3,41
"Mix sałat z sałatą lodową - Vital Fresh",18,1,2,0
"Chleb IG o niskim indeksie glikemicznym - ProBody",288,12.2,40.8,7.8
"Kasza bulgur (ugotowana)",109,3.8,20.9,0.5
"Kurczak (grillowany)",200,28.1,0,9.7
"Płatki owsiane  górskie - Biedronka",363,13,60,5.7
Chałka,332,7.8,59.8,7
"Kakao z mlekiem (rozpuszczone)",77,3.5,10.7,2.3
"Lody śmietankowe",155,3.2,17.2,8.6
"Filet z piersi kurczaka (grillowany)",123,25.8,0,4.9
"Cukinia grilowana",54,1.2,3.3,4.8
"Filet wędzony z indyka",117,22,1,2
"Len mielony - Oleofarm",311,32,7,9
"Chleb Słowiański - Biedronka",205,7,42,1
"Wino białe półsłodkie",82,0.1,3.1,0
"Orzechy arachidowe",553,25.7,19.2,46.1
"Olej migdałowy",884,0,0,100
Dżem,156,0.4,38,0.1
"Jogurt  naturalny typu greckiego - Tolonis",125,3.8,5,10
"Makaron pełnoziarnisty Penne (ugotowany)",157,6.9,30.9,0.6
Makaron,144,6,25,3
"Indyk (udo bez skóry)",144,19.5,0,6.7
"Chleb Delikatesowy - Schulstad",253,6.5,53,1.5
Kabanos,326,27.4,0,24.3
"Papryka czerwona gotowana (bez soli)",28,0.9,6.7,0.2
"Kasza gryczana niepalona (gotowana)",111,4.3,23,0.8
"Czerwona fasola - Biedronka",102,8.1,12.3,0.6
"Soda oczyszczona",0,0,0,0
"Pesto zielone",401,4.7,7.6,38.6
"Żółtko jaja kurzego",314,15.5,0.3,28
"Czekolada nadziewana",449,3.9,68.8,17.6
"Chleb żytni z siemieniem lnianym i ziarnami słonecznika",257,7.2,40,6.5
Lody,155,3.2,17.2,8.6
"Olej kokosowy - Extra virgin (nierafinowany)",900,0.3,0,98
"Margaryna pro-activ - Flora",320,0.5,2.5,35
"Ryż brązowy naturalny",370,7.1,76.8,1.9
"Chleb wieloziarnisty pszenno-żytni na zakwasie",191,7.3,33.2,3.2
"Polędwica drobiowa sopocka",93,20.4,0,1.2
"Kasza jaglana (niegotowana)",346,10.6,69,3.8
"Migdały w płatkach - Whole Foods - Tesco",604,20,7.6,52
"Surówka z kapusty kiszonej - Grześkowiak",73,0.8,12,2.8
"Galaretka z kurczaka",50,6.3,0.2,2.6
"Pierś z indyka (gotowana)",106,24,0,1
"Chleb razowy bez substancji konserwujących - Tesco",212,5.8,41.6,1.8
"Kawa z mlekiem (rozpuszczona)",47,3,5,2
Pizza,223,9.8,40.2,2.5
"Pieczywo chrupkie",389,11,74,5
Makowiec,311,6.7,44.8,11.8
"Płatki jaglane (nieugotowane)",71,2.4,12.8,1.3
"Szynka surowa wieprzowa",180,16.5,4.2,10.3
"Zupa grochowa",61,3.2,10,1.1
"Szynka szwarcwaldzka - Lidl",234,26,1,14
"Tortilla (placek)",315,6.1,56,6.7
"Chleb Domowy - Schulstad",269,7.4,54.8,1.5
"Chleb razowy - Biedronka",235,6.8,30,7.6
"Sos tabasco",12,1.3,0.8,0.8
"Orzechy ziemne",567,26,16,49
"Pasztet wieprzowo-wołowy",295,19,3.4,22
"Kapusta (ugotowana)",23,1.3,5.5,0.1
"Wino białe półwytrawne",81,0,3.7,0
"Makaron razowy (nieugotowany)",318,13.9,61.2,1.9
"Przyprawa Anyż",337,18,50,16
"Serek wiejski lekki - Delikate",83,11,3,3
"Herbata czarna (parzona)",1,0.1,0.1,0
"Fasolka szparagowa zielona (mrożona) - Poltino",31,2.2,3.3,0.2
"Jajecznica na maśle z 2 jaj",216,12.7,1.4,18
Frankfurterki,305,11.5,1.7,27.6
"Ser Gouda - Światowid",335,23,0.1,27
"Bita śmietana",257,3.2,12.5,22.2
"Mix sałat z sałatą lodową",18,0.8,2.4,0.1
"Bułka kajzerka wieloziarnista - Lidl",198,9,29,5
"Szynka konserwowa - Krakus",114,17.4,2,4
"Frytki ziemniaczane",252,3,33,12
"Ogórek korniszon",35,0,7,0
"Śledź w oleju",304,16.4,0,26.5
"Chleb żytni pełnoziarnisty razowy ze słonecznikiem",207,5,35,3
"Pomidory w puszce krojone - Tesco",23,1.3,3,0.5
"Frytki z piekarnika",172,2.7,28.7,5.2
"Chleb chrupki",363,8.7,78.9,2.4
"Tost z serem i szynką",251,13,30,8
"szynka wieprzowa",253,17.1,0.9,20.3
"Indyk pieczony",208,28.1,0,9.7
"Drożdże piekarskie",105,8.4,18.1,1.9
"Pstrąg pieczony",130,24.6,0,2.7
"Musli tropikalne",370,8.9,64,6.8
"Łosoś grillowany",167,10,9,9
"Barszcz czerwony domowy",54,2.1,6.5,3
Smalec,898,0,0,99.5
"Wafle ryżowe",243,8.9,43.5,4.6
"Pierś z kurczaka gotowana na parze",151,32.9,0,2
"Sałata mix toskańska",23,1.5,3.1,0.2
"Napój energetyczny mental - Tiger",46,0,11,0
"Bułka kajzerka wieloziarnista",209,6,43.6,1.7
"Jajko sadzone bez tłuszczu",166,14,1,15
"Ser żółty z obniżoną zawartością tłuszczu Hit z Ryk - SM Ryki",237,28,1.7,13
"Bułka wieloziarnista - Biedronka",269,9.4,46.5,5.1
"Szynka z indyka - Biedronka",99,22,0.8,0.9
"Sernik na zimno z owocową galaretką",142,4.5,19.2,5.4
"Serek z chrzanem - Almette",247,6,4,23
"Ser  Cheddar pełnotłusty",403,24.9,1.3,33.1
"Jajka gotowane na twardo",155,12.5,1.1,10.6
"Serek śmietankowy do kanapek z czosnkiem - Delikate",243,6,3,23
"Jogurt naturalny kremowy 190g - Tola",70,4.4,6.3,3
"Otręby żytnie",205,15,26,4.3
"Kiełbasa żywiecka",324,20.3,0,26.3
"Ser twarogowy chudy - Biedronka",101,20,4,0.5
"Polędwica z kurczaka - szynka",98,20,0.9,1.2
"Przyprawa do kurczaka - Knorr",210,12,25,4.5
"Jogurt Jogobella 0% owoce leśne - Zott",43,4.3,5,0.1
"Przyprawa pieprz kolorowy",1,1,1,1
"Bulion warzywny (kostka)",290,5.7,11,28
"Mix sałat z roszponką - Vital Fresh",16,1,1,0
"Nasiona Chia - Intenson",486,17,42,31
"Białko jaja kurzego",52,10.9,0.7,0.2
"Bułka grahamka z Biedronki",252,9,56.1,1.7
"Twaróg chudy - Cuiavia",91,20,2.2,0.2
"Olej kokosowy - Bio Kokos",820,0,0,90.9
"Mleko 2% Mleczna Dolina - Biedronka",48,3,4.6,2
"Parówki Sokoliki - Sokołów",179,14.5,1.1,13
"Jogurt naturalny 0% - Bakoma",52,5.5,7.6,0
"Pączek (z lukrem lub cukrem)",426,5.2,50.8,22.9
"Chleb razowy - Polskie Zboża",253,8.2,51.2,1.6
"Sok malinowy - Hofer",43,0.5,11,0.5
"Serek wiejski naturalny - Pilos",97,11,2,5
"Kawa 3w1 nescafe classic - Nestle",45,0.3,7.8,1.3
"Ser  Camembert",263,19.3,1.9,19.8
"Olej sezamowy",900,0,0,100
"Gulasz wołowy",78,7.5,9.5,1.2
"Dorsz gotowany na parze",80,19,0,1
"Czekoladki Merci",562,7.4,49.7,36.3
Baleron,246,15.1,0.9,20.2
"Dżem 100% owoców czarna porzeczka - Łowicz",130,0.9,28.3,0.2
"Fasola biała Jaś",135,10,26,0
Otręby,245,17,6.6,7
"Ser Edamski w plastrach",334,25,0.1,26
"Majonez dekoracyjny - Winiary",704,1.5,2.9,76.3
"Murzynek (ciasto)",427,7.7,45,24.4
"Kawa Nescore - Nestle",54,3.5,5.1,2
"Twaróg Wiejski lekki 0% - Piątnica",90,19,3.5,0
"Mintaj świeży",92,19.4,0,1
"Jogurt Activia pełne ziarna smakowy - Danone",100,3.6,15.4,2.5
"Naleśniki z dżemem",199,6.3,35.2,3.8
"Ryż biały długoziarnisty (nieugotowany) - Kupiec",353,7,79,1
Parówki,230,12,0.5,20
"Kisiel (po przygotowaniu)",67,0.1,16.6,0.1
"Sok marchwiowy",40,1,9.3,0.2
Pstrąg,141,19.9,0,6.2
"Ser Camembert",357,17,0.2,32
"Ryba pieczona",124,21,0.3,3.6
"Drożdżówka z serem",292,9.5,48.4,6.1
"Tuńczyk kawałki w sosie własnym - Amerigo",80,20,0,0.5
"Piwo Żywiec",49,0.5,3.8,0
"Sok jednodniowy jabłkowo-buraczkowy - Viva Natura",38,0.6,8.6,0.5
"Chleb żytni na naturalnym zakwasie - Lidl",217,6,42,2.3
"Kiełbasa biała",274,13.9,0.1,22.8
"Czekolada gorzka  (60-69% zawartości kakao)",579,6.1,52.4,38.3
"Winogrona ciemne",67,0.5,17.6,0.2
"Buraczki duszone",81,1.6,13,3
"Chleb wielozbożowy pełnoziarnisty",191,5.3,31,2.8
"Margaryna Daria lekka z Omega-3 - Mlekovita",270,0,0,30
"Bułka grahamka - Biedronka",252,9,56.1,1.7
"Sok malinowy",213,0,53,0
"Sos pieczeniowy ciemny",37,1,6,1
"Ciecierzyca (gotowana bez soli)",97,7.9,19.6,1.1
"Szparagi ugotowane",22,2.4,4.1,0.2
"Odżywka białkowa Whey protein complex - Olimp",390,75,7.8,6.5
"Bataty (słodkie ziemniaki)",86,1.6,20.1,0.1
"Musli z owocami - Sante",367,8.5,71.8,5
"Kapusta biała zasmażana",72,1.3,5.8,4.9
"Olej rzepakowy - Auchan",828,0,0,92
"Jajecznica na boczku z cebulą i pieczarkami",193,11.4,1,18
"Chia - szałwia hiszpańska - nasiona Intenson",402,23,0.5,33
"Dżem 100% Brzoskwinia",141,0.8,33.2,0.2
"Zupa Złoty Kurczak (po przyrządzeniu) - Vifon",72,1.3,9.1,3.3
"Kiełbasa wiejska",275,17,0,23
"Herbata Torebki - Lipton",4,1,1,0
"Kiełbasa krakowska",168,20.1,0,9.7
"Pieczywo chrupkie lekkie pszenne - Wasa",360,12,73,2.5
"Nasiona Chia - Melvit",383,19,43,13
"Mięso mielone z indyka",130,19,0.5,5.8
"Kabanos drobiowy",538,24,4.8,47
"Piwo Perła",49,0.5,4,0
"Kiełbasa grillowa z grilla",251,20.5,0,18.8
"Kiełbasa biała parzona",224,12,2.3,18.5
"Śliwka duża",45,0.6,11.7,0.2
"Ciasto Tiramisu",387,5.3,41.1,22.3
"Piwo Lech  Premium",41,0.4,2.7,0
"Bułka pełnoziarnista",306,10.9,47.7,6.8
"Nasiona sezamu",573,18,23,50
"Schab duszony bez kości",197,25.2,0,10.2
"Kiełbasa z piersi kurczaka",190,17.9,0.6,13
"Chleb mieszany ze słonecznikiem",247,6.1,46.3,4.3
"Lody czekoladowe",216,3.8,28,11
"Mleko 1,5% bez laktozy",47,3.4,4.9,1.5
"Indyk duszony",123,23.9,8.5,1.7
"Mleko 0,5% - Mlekovita",35,3,4.7,0.5
"Boczek smażony",541,37,1.4,41.8
Żurek,136,2,25.9,3.4
"Sos pesto zielony",340,3.7,6.3,34.6
"Mieszanka studencka",528,15.2,36,34.9
"Pomidory krojone (puszka)",35,1.2,7.5,0
"Leczo wegetariańskie",31,1.6,3.4,0.8
"Ananas kawałki w syropie",61,0.3,14.5,0.1
"Pasta jajeczna",418,7,3,42
"Ciasto drożdżowe z kruszonką",375,8.9,56.2,13.2
"Chleb razowy - Lidl",241,8,47,1
"Kurczak (duszony)",201,24.9,2,11.3
"Cydr jabłkowy",47,0,12,0.2
"Sok 100% czerwony grejfrut",39,0.5,9.2,0.1
"Ziemniaki na parze",77,1.9,18.3,0.1
"Sos boloński z mięsem - Pudliszki",70,3.6,7.2,3.3
"Twaróg Wiejski chudy - Piątnica",92,20,3,0
"Surówka z marchwi i jabłka",47,0.7,10.5,0.2
"Czekolada z orzechami",519,13.1,49.7,33.5
"Przyprawa Kminek",375,17.8,44.2,22.3
"Len mielony złoty odtłuszczony - Sante",364,32,4,17.5
"Płatki owsiane z dodatkiem otrębów owsianych",361,18,45.6,7.7
"Parówki z szynki - Sokołów",283,13,1.5,25
"Schab wieprzowy (surowy)",128,24,0.4,3.5
"Filet z indyka",84,19.2,0,0.7
"Ciasto marchewkowe",268,4.8,28.3,14.9
"Flaki wołowe (w rosole)",36,4.9,1.5,1.2
"Groszek z marchewką",34,2.2,4.5,0.5
"Baton Fitness z truskawkami - Nestle",381,5.5,73.8,7.1
"Kompot wiśniowy",69,0.2,16.9,0.1
"Cukier trzcinowy - Demerara",399,0,99,0
"Płatki orkiszowe",327,12,63,3
"Serek homogenizowany o smaku waniliowym - Rolmlecz",138,7,15,5.5
Oscypek,386,29,0,30
"Tuńczyk w oleju - Ocean Rise",189,27,0.5,9
"Łosoś wędzony na zimno - Biedronka",188,20,0,12
"Pstrąg wędzony",127,20.6,0,4.7
"Jabłko pieczone",93,0.3,19,1.6
"Kawa Cappuccino śmietankowe",413,4.1,77.2,9.8
"Bagietka pszenna",265,7.9,52.8,0.7
"Pieczywo chrupkie original - Wasa",334,9,61.5,1.5
"Serek ze szczypiorkiem i cebulą - Almette",242,7,4,22
Anchois,210,29,0,10
Limonka,30,0.7,10.5,0.2
"Trawa cytrynowa (surowa)",99,1.8,25.3,0.5
"Pieczywo chrupkie żytnie delikatess - Wasa",334,9,60,1.5
"Wafle ryżowe z amarantusem - Sante",372,8,77,3
"Sos pieczarkowy",33,1.1,1.9,2.3
"Zupa kalafiorowa",63,5.7,4.7,2.7
"Pieczarki duszone z cebulą",38,2,3,2
"Parówka drobiowa",259,10.8,4.2,22.4
"Tort biszkoptowy z bitą śmietaną",281,5.2,31.3,15
"Syrop z agawy",305,0,75,0.5
"Zupa fasolowa",65,5.2,7.9,2.1
"Ser kozi (półmiękki)",364,21.6,2.5,29.8
"Wołowina (mięso bez kości)",232,18,0.4,17.6
"Pierś z kurczaka (w cieście, smażona)",170,16.4,6,9
"Makaron penne pełnoziarnisty (nieugotowany)",340,15,58,3.2
"Delicje (wiśniowe)",376,3.5,71.5,7.4
"Płatki ryżowe",352,6.5,76,0.8
"Szpinak mrożony",25,3.2,0.6,0.2
"Szynka w galarecie",76,12,5,1
"Zupa z kapusty (kapuściana)",29,1.6,3.1,1.3
"Makaron ryżowy (ugotowany)",109,0.9,24.9,0.2
"Jabłko zielone",46,0.4,12.1,0.4
"Orzeszki ziemne prażone z solą",585,23.7,21.5,49.7
"Chleb żytni ze słonecznikiem",279,7,46,7
"Serek homogenizowany naturalny 7,5% - Pilos",125,11,3.4,7.5
"Chleb żytni pytlowy",243,4.6,52.7,1.5
"Ryż paraboliczny (ugotowany)",143,2.9,31.9,0.4
"Słonecznik (200g) - Kresto",650,20,14,56
"Owoc Kaki",74,1,17,0
"Pierś z kurczaka bez skóry (smażona)",184,33.3,0,4.7
"Groch suche ziarno (nieugotowany)",341,24.6,60.4,1.2
"Polędwica wieprzowa (duszona)",171,28.4,0,5.5
"Ser pleśniowy błękitny - Lazur",359,20,0.1,31
"Buraczki gotowane",38,1.8,9.5,0.1
"Ketchup pikantny - Heinz",107,1.2,23.3,0.1
"Krewetki świeże (surowe)",106,20.3,0.9,1.7
"Chleb staropolski",226,4.4,49.5,1.2
"zupa kapuśniak na wędzonce",37,1.6,3.8,2
"Chleb pełnoziarnisty żytni ciemny - Carrefour",185,5.1,33,1.4
"Racuchy z jabłkiem",155,3,23,6
"Ketchup pikantny - Pudliszki",140,1.3,33,0.1
"Piwo Desperados",58,0,5.1,0
"Jogurt Jogobella truskawkowy - Zott",95,3.5,14.6,2.5
"Łosoś pieczony",220,20,3.3,13.7
"Kawa Cappuccino - Coffee Heaven",41,2.5,3.4,2
"Kiełbasa szynkowa z indyka",89,17.2,0.2,2
"Chleb firmowy",251,8.3,46.4,2.6
"Twaróg półtłusty - Pilos",115,16,3.7,4
Łosoś,127,20.5,0,4.4
"Kawa z mlekiem (2%) i 1 łyżeczką białego cukru",36,2,27,2
"Kawa latte machiatto",57,3.1,4.4,3
"Warzywa na patelnię zielone - Frosta",41,2.3,5,1.2
"Warzywa na patelnię z ziemniakami - Hortex",60,2.1,8.4,1.2
Wiśnie,50,1,12.2,0.3
"Pieczeń wieprzowa",247,27,0,14.6
"Maślanka  2%",50,3.5,4.5,2
